Age,BusinessTravel,Department,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,OverTime
28,Travel_Rarely,Research & Development,Life Sciences,364,1,Male,Laboratory Technician,3,Single,3485,2,Y,No
29,Travel_Rarely,Sales,Medical,366,1,Male,Sales Executive,2,Married,6644,2,Y,No
31,Travel_Rarely,Research & Development,Medical,367,2,Male,Healthcare Representative,4,Married,5582,0,Y,No
25,Non-Travel,Research & Development,Life Sciences,369,2,Male,Healthcare Representative,1,Divorced,4000,1,Y,No
45,Travel_Rarely,Research & Development,Medical,372,3,Male,Healthcare Representative,4,Married,13496,0,Y,Yes
36,Travel_Rarely,Research & Development,Life Sciences,373,4,Male,Laboratory Technician,4,Married,3210,0,Y,No
55,Travel_Rarely,Research & Development,Medical,374,4,Male,Manager,1,Single,19045,0,Y,Yes
47,Non-Travel,Research & Development,Life Sciences,376,1,Male,Manager,2,Married,11849,1,Y,Yes
28,Travel_Rarely,Research & Development,Medical,377,4,Male,Research Scientist,4,Married,2070,1,Y,No
37,Travel_Rarely,Sales,Medical,378,3,Male,Sales Executive,4,Married,6502,4,Y,No
21,Travel_Rarely,Research & Development,Medical,379,4,Male,Research Scientist,3,Single,3230,1,Y,No
37,Non-Travel,Research & Development,Medical,380,1,Female,Research Director,4,Divorced,13603,2,Y,Yes
35,Travel_Rarely,Research & Development,Life Sciences,381,2,Female,Manager,2,Divorced,11996,7,Y,No
38,Travel_Rarely,Sales,Medical,382,1,Female,Sales Executive,1,Divorced,5605,1,Y,Yes
26,Travel_Frequently,Research & Development,Life Sciences,384,3,Female,Manufacturing Director,2,Divorced,6397,1,Y,No
50,Travel_Rarely,Research & Development,Life Sciences,385,1,Male,Research Director,2,Divorced,19144,3,Y,No
53,Travel_Rarely,Research & Development,Medical,386,3,Male,Research Director,3,Married,17584,3,Y,Yes
42,Travel_Rarely,Sales,Life Sciences,387,2,Male,Sales Executive,3,Married,4907,1,Y,No
29,Travel_Frequently,Sales,Life Sciences,388,2,Male,Sales Executive,4,Single,4554,1,Y,No
55,Travel_Rarely,Research & Development,Technical Degree,389,2,Male,Laboratory Technician,4,Married,5415,3,Y,Yes
26,Travel_Frequently,Research & Development,Medical,390,1,Male,Healthcare Representative,1,Married,4741,1,Y,Yes
37,Travel_Rarely,Research & Development,Life Sciences,391,4,Female,Research Scientist,4,Single,2115,1,Y,No
44,Travel_Frequently,Research & Development,Life Sciences,392,4,Male,Laboratory Technician,3,Divorced,3161,3,Y,Yes
38,Travel_Rarely,Research & Development,Life Sciences,393,4,Male,Healthcare Representative,4,Divorced,5745,9,Y,No
26,Travel_Rarely,Research & Development,Medical,394,1,Male,Laboratory Technician,2,Divorced,2373,2,Y,Yes
28,Travel_Rarely,Research & Development,Life Sciences,395,4,Female,Research Scientist,4,Single,3310,1,Y,No
49,Travel_Frequently,Research & Development,Life Sciences,396,3,Female,Research Director,1,Single,18665,9,Y,Yes
36,Travel_Rarely,Research & Development,Technical Degree,397,3,Male,Research Scientist,2,Single,4485,4,Y,No
31,Travel_Frequently,Sales,Marketing,399,4,Female,Sales Representative,2,Divorced,2789,1,Y,No
26,Travel_Rarely,Sales,Marketing,401,4,Male,Sales Executive,4,Single,5828,1,Y,Yes
37,Travel_Frequently,Research & Development,Medical,403,2,Male,Research Scientist,4,Married,2326,1,Y,Yes
42,Travel_Frequently,Sales,Marketing,404,3,Female,Sales Executive,2,Married,13525,5,Y,No
18,Travel_Rarely,Research & Development,Life Sciences,405,3,Male,Laboratory Technician,3,Single,1420,1,Y,No
35,Travel_Rarely,Sales,Marketing,406,3,Male,Sales Executive,2,Married,8020,0,Y,No
36,Travel_Frequently,Research & Development,Life Sciences,407,3,Male,Laboratory Technician,4,Married,3688,4,Y,No
51,Travel_Rarely,Research & Development,Medical,408,4,Male,Manufacturing Director,2,Divorced,5482,5,Y,No
41,Travel_Rarely,Sales,Life Sciences,410,4,Male,Manager,2,Single,16015,1,Y,No
18,Travel_Rarely,Sales,Medical,411,4,Female,Sales Representative,3,Single,1200,1,Y,No
28,Travel_Rarely,Research & Development,Medical,412,2,Male,Healthcare Representative,1,Single,5661,0,Y,No
31,Travel_Rarely,Sales,Technical Degree,416,2,Male,Sales Executive,4,Married,6929,4,Y,No
39,Travel_Rarely,Research & Development,Medical,417,3,Male,Healthcare Representative,4,Divorced,9613,0,Y,No
36,Non-Travel,Research & Development,Life Sciences,419,2,Female,Laboratory Technician,2,Married,5674,7,Y,No
32,Travel_Rarely,Sales,Life Sciences,420,4,Male,Sales Executive,3,Married,5484,1,Y,No
38,Travel_Rarely,Research & Development,Life Sciences,421,1,Female,Research Director,2,Married,12061,3,Y,No
58,Non-Travel,Research & Development,Life Sciences,422,4,Male,Healthcare Representative,3,Divorced,5660,2,Y,Yes
31,Travel_Rarely,Research & Development,Technical Degree,423,3,Male,Research Scientist,4,Married,4821,0,Y,Yes
31,Travel_Rarely,Human Resources,Human Resources,424,1,Male,Human Resources,1,Married,6410,3,Y,No
45,Travel_Frequently,Research & Development,Life Sciences,425,1,Male,Laboratory Technician,1,Divorced,5210,1,Y,No
31,Travel_Rarely,Research & Development,Life Sciences,426,3,Male,Research Scientist,4,Divorced,2695,0,Y,Yes
33,Travel_Frequently,Research & Development,Life Sciences,428,4,Female,Manager,2,Married,11878,6,Y,No
39,Travel_Rarely,Research & Development,Medical,429,3,Male,Manager,1,Married,17068,1,Y,Yes
43,Travel_Frequently,Research & Development,Life Sciences,430,3,Female,Laboratory Technician,4,Single,2455,0,Y,No
49,Travel_Rarely,Research & Development,Technical Degree,431,3,Female,Healthcare Representative,3,Single,13964,7,Y,Yes
52,Travel_Rarely,Research & Development,Medical,433,3,Male,Research Scientist,2,Married,4941,2,Y,No
27,Travel_Rarely,Research & Development,Life Sciences,434,3,Female,Research Scientist,2,Single,2478,1,Y,Yes
32,Travel_Rarely,Sales,Technical Degree,436,3,Female,Sales Executive,2,Married,5228,1,Y,Yes
27,Travel_Rarely,Sales,Life Sciences,437,4,Male,Sales Executive,3,Single,4478,1,Y,Yes
31,Travel_Rarely,Sales,Marketing,438,4,Male,Sales Executive,4,Divorced,7547,4,Y,No
32,Travel_Rarely,Research & Development,Medical,439,1,Female,Research Scientist,4,Single,5055,7,Y,No
28,Travel_Rarely,Research & Development,Medical,440,1,Male,Research Scientist,4,Married,3464,5,Y,Yes
30,Travel_Rarely,Research & Development,Medical,441,4,Female,Research Scientist,4,Married,5775,1,Y,No
31,Travel_Frequently,Research & Development,Life Sciences,442,3,Female,Manufacturing Director,3,Married,8943,1,Y,No
39,Travel_Frequently,Research & Development,Medical,444,3,Male,Manager,4,Married,19272,1,Y,No
39,Travel_Rarely,Sales,Medical,445,4,Female,Sales Executive,3,Married,5238,4,Y,Yes
33,Travel_Frequently,Sales,Marketing,446,2,Male,Sales Executive,4,Single,4682,3,Y,No
47,Travel_Rarely,Research & Development,Life Sciences,447,4,Male,Research Director,3,Married,18300,4,Y,No
43,Travel_Frequently,Research & Development,Life Sciences,448,3,Female,Laboratory Technician,3,Divorced,5257,1,Y,No
27,Non-Travel,Sales,Marketing,449,3,Male,Sales Executive,2,Married,6349,0,Y,Yes
54,Travel_Frequently,Research & Development,Life Sciences,450,4,Female,Research Scientist,3,Single,4869,3,Y,No
43,Travel_Rarely,Research & Development,Life Sciences,451,3,Female,Healthcare Representative,1,Married,9985,8,Y,No
45,Travel_Rarely,Research & Development,Other,452,4,Male,Research Scientist,4,Married,3697,9,Y,No
40,Travel_Rarely,Sales,Medical,453,2,Male,Sales Executive,4,Married,7457,2,Y,Yes
29,Travel_Rarely,Research & Development,Other,454,2,Male,Laboratory Technician,1,Married,2119,1,Y,Yes
29,Travel_Rarely,Research & Development,Other,455,2,Male,Laboratory Technician,4,Single,3983,0,Y,No
30,Travel_Rarely,Sales,Marketing,456,4,Female,Sales Executive,3,Divorced,6118,1,Y,No
27,Travel_Rarely,Sales,Marketing,458,2,Female,Sales Executive,2,Married,6214,1,Y,No
37,Travel_Rarely,Research & Development,Medical,460,4,Male,Manufacturing Director,4,Divorced,6347,7,Y,No
38,Travel_Rarely,Research & Development,Life Sciences,461,3,Male,Research Director,4,Divorced,11510,0,Y,Yes
31,Travel_Rarely,Research & Development,Medical,462,3,Female,Manufacturing Director,4,Single,7143,1,Y,Yes
29,Travel_Rarely,Sales,Marketing,463,4,Female,Sales Executive,2,Divorced,8268,1,Y,Yes
35,Travel_Rarely,Research & Development,Technical Degree,464,3,Male,Manufacturing Director,2,Single,8095,0,Y,No
23,Travel_Rarely,Research & Development,Life Sciences,465,3,Male,Research Scientist,4,Divorced,2904,1,Y,No
41,Travel_Rarely,Research & Development,Medical,466,4,Male,Manufacturing Director,2,Single,6032,6,Y,Yes
47,Travel_Frequently,Sales,Medical,467,2,Male,Sales Representative,3,Single,2976,3,Y,No
42,Travel_Rarely,Research & Development,Life Sciences,468,1,Female,Research Director,4,Single,15992,2,Y,No
29,Non-Travel,Sales,Life Sciences,469,4,Male,Sales Executive,3,Married,4649,1,Y,No
42,Travel_Rarely,Human Resources,Technical Degree,470,3,Male,Human Resources,3,Divorced,2696,0,Y,Yes
32,Travel_Rarely,Research & Development,Medical,471,3,Female,Laboratory Technician,2,Married,2370,1,Y,No
48,Travel_Rarely,Sales,Medical,473,1,Female,Manager,3,Married,12504,3,Y,No
37,Travel_Rarely,Research & Development,Medical,474,3,Male,Research Scientist,1,Divorced,5974,4,Y,Yes
30,Non-Travel,Sales,Technical Degree,475,4,Female,Sales Executive,3,Married,4736,7,Y,Yes
26,Travel_Rarely,Sales,Life Sciences,476,3,Male,Sales Executive,3,Married,5296,1,Y,No
42,Travel_Rarely,Research & Development,Other,477,1,Male,Healthcare Representative,4,Single,6781,3,Y,No
21,Travel_Frequently,Sales,Technical Degree,478,1,Female,Sales Representative,2,Single,2174,1,Y,Yes
36,Non-Travel,Sales,Medical,479,4,Female,Sales Executive,4,Single,6653,4,Y,No
36,Travel_Frequently,Sales,Medical,481,1,Male,Sales Executive,4,Married,9699,4,Y,No
57,Travel_Rarely,Research & Development,Medical,482,4,Male,Healthcare Representative,3,Married,6755,2,Y,No
40,Travel_Rarely,Research & Development,Life Sciences,483,4,Female,Laboratory Technician,3,Married,2213,3,Y,Yes
21,Non-Travel,Sales,Medical,484,1,Male,Sales Representative,4,Single,2610,1,Y,No
33,Travel_Rarely,Sales,Marketing,485,4,Female,Sales Representative,3,Single,2851,1,Y,Yes
37,Travel_Rarely,Research & Development,Medical,486,3,Female,Laboratory Technician,1,Married,3452,6,Y,No
46,Non-Travel,Research & Development,Medical,487,3,Female,Manufacturing Director,3,Married,5258,2,Y,No
41,Travel_Frequently,Sales,Marketing,488,1,Male,Sales Executive,2,Single,9355,1,Y,No
50,Travel_Rarely,Research & Development,Technical Degree,491,4,Male,Healthcare Representative,4,Single,10496,6,Y,No
40,Travel_Rarely,Sales,Marketing,492,3,Male,Sales Executive,3,Married,6380,2,Y,Yes
31,Travel_Rarely,Research & Development,Life Sciences,493,3,Male,Research Scientist,2,Single,2657,0,Y,Yes
21,Travel_Rarely,Sales,Life Sciences,494,3,Female,Sales Representative,2,Single,2716,1,Y,No
29,Travel_Rarely,Research & Development,Life Sciences,495,4,Male,Research Scientist,4,Single,2201,9,Y,No
35,Travel_Rarely,Research & Development,Life Sciences,496,3,Male,Healthcare Representative,2,Single,6540,9,Y,No
27,Travel_Rarely,Research & Development,Medical,497,4,Male,Laboratory Technician,2,Divorced,3816,1,Y,No
28,Travel_Rarely,Sales,Life Sciences,498,2,Male,Sales Executive,4,Single,5253,1,Y,No
49,Travel_Rarely,Research & Development,Other,499,2,Male,Healthcare Representative,3,Single,10965,8,Y,No
51,Travel_Rarely,Sales,Life Sciences,500,3,Female,Sales Executive,4,Married,4936,4,Y,No
36,Travel_Rarely,Research & Development,Life Sciences,501,4,Female,Research Scientist,3,Married,2543,4,Y,No
34,Non-Travel,Sales,Marketing,502,1,Male,Sales Executive,4,Single,5304,8,Y,Yes
55,Travel_Rarely,Research & Development,Life Sciences,505,3,Female,Manager,4,Single,16659,2,Y,Yes
24,Travel_Rarely,Sales,Marketing,507,4,Female,Sales Executive,3,Divorced,4260,1,Y,Yes
30,Travel_Rarely,Sales,Technical Degree,508,3,Male,Sales Representative,2,Married,2476,1,Y,No
26,Travel_Frequently,Research & Development,Technical Degree,510,3,Male,Research Scientist,1,Single,3102,0,Y,No
22,Travel_Rarely,Research & Development,Medical,511,1,Female,Research Scientist,2,Married,2244,1,Y,No
36,Travel_Rarely,Sales,Medical,513,2,Male,Sales Executive,3,Married,7596,1,Y,No
30,Travel_Frequently,Research & Development,Technical Degree,514,3,Male,Research Scientist,4,Single,2285,9,Y,Yes
37,Travel_Rarely,Research & Development,Life Sciences,515,4,Female,Laboratory Technician,1,Divorced,3034,1,Y,No
40,Travel_Rarely,Sales,Marketing,516,4,Female,Sales Executive,2,Divorced,5715,7,Y,No
42,Travel_Rarely,Research & Development,Life Sciences,517,2,Female,Laboratory Technician,1,Divorced,2576,3,Y,No
37,Travel_Rarely,Research & Development,Life Sciences,518,3,Male,Manufacturing Director,2,Single,4197,2,Y,Yes
43,Travel_Rarely,Research & Development,Life Sciences,520,1,Male,Research Director,2,Divorced,14336,1,Y,No
40,Travel_Rarely,Research & Development,Medical,521,2,Female,Laboratory Technician,3,Married,3448,6,Y,No
54,Travel_Rarely,Research & Development,Medical,522,1,Male,Research Director,1,Married,19406,4,Y,No
34,Non-Travel,Sales,Marketing,523,3,Female,Sales Executive,3,Married,6538,9,Y,No
31,Travel_Rarely,Research & Development,Medical,524,2,Female,Manufacturing Director,1,Married,4306,1,Y,No
43,Travel_Frequently,Research & Development,Medical,525,4,Male,Laboratory Technician,4,Married,2258,7,Y,No
43,Travel_Rarely,Research & Development,Other,526,3,Female,Healthcare Representative,3,Divorced,4522,4,Y,Yes
25,Travel_Rarely,Sales,Life Sciences,527,2,Female,Sales Executive,4,Single,4487,1,Y,Yes
37,Non-Travel,Research & Development,Medical,529,2,Female,Research Scientist,3,Married,4449,3,Y,Yes
31,Travel_Rarely,Research & Development,Life Sciences,530,4,Male,Laboratory Technician,1,Married,2218,1,Y,No
39,Travel_Frequently,Research & Development,Life Sciences,531,2,Male,Manager,3,Divorced,19197,1,Y,Yes
56,Travel_Frequently,Sales,Life Sciences,532,3,Female,Sales Executive,1,Married,13212,9,Y,No
30,Travel_Rarely,Sales,Technical Degree,533,2,Female,Sales Executive,3,Single,6577,0,Y,No
41,Travel_Rarely,Sales,Marketing,534,2,Male,Sales Executive,1,Married,8392,1,Y,No
28,Travel_Rarely,Research & Development,Medical,536,3,Male,Laboratory Technician,1,Divorced,4558,1,Y,No
25,Travel_Rarely,Research & Development,Medical,538,1,Male,Laboratory Technician,1,Married,4031,5,Y,No
52,Travel_Rarely,Research & Development,Medical,543,4,Male,Manufacturing Director,3,Married,7969,2,Y,Yes
45,Travel_Rarely,Research & Development,Life Sciences,544,1,Male,Research Scientist,4,Married,2654,3,Y,No
52,Travel_Rarely,Research & Development,Life Sciences,546,4,Female,Manager,4,Married,16555,2,Y,No
42,Travel_Frequently,Research & Development,Life Sciences,547,1,Female,Research Scientist,3,Divorced,4556,2,Y,No
30,Travel_Rarely,Research & Development,Life Sciences,548,3,Female,Manufacturing Director,4,Single,6091,2,Y,No
60,Travel_Rarely,Research & Development,Life Sciences,549,1,Female,Manager,1,Married,19566,5,Y,No
46,Travel_Rarely,Research & Development,Medical,550,3,Female,Manufacturing Director,3,Divorced,4810,2,Y,No
42,Travel_Frequently,Research & Development,Technical Degree,551,4,Female,Healthcare Representative,4,Married,4523,0,Y,No
24,Travel_Rarely,Sales,Technical Degree,554,1,Female,Sales Representative,2,Single,3202,1,Y,Yes
34,Travel_Frequently,Sales,Marketing,555,4,Female,Sales Representative,3,Divorced,2351,0,Y,No
38,Travel_Frequently,Research & Development,Life Sciences,556,4,Male,Laboratory Technician,4,Married,1702,1,Y,Yes
40,Travel_Rarely,Sales,Life Sciences,558,3,Female,Manager,3,Married,18041,0,Y,No
26,Travel_Rarely,Research & Development,Life Sciences,560,1,Female,Research Scientist,4,Divorced,2886,1,Y,No
30,Non-Travel,Research & Development,Life Sciences,562,3,Male,Laboratory Technician,4,Married,2097,4,Y,No
29,Travel_Rarely,Research & Development,Medical,564,2,Male,Research Director,3,Married,11935,1,Y,No
29,Travel_Rarely,Research & Development,Technical Degree,565,3,Female,Research Scientist,2,Married,2546,5,Y,No
19,Travel_Rarely,Human Resources,Technical Degree,566,1,Male,Human Resources,4,Single,2564,1,Y,No
30,Non-Travel,Sales,Other,567,3,Female,Sales Executive,1,Married,8412,0,Y,No
57,Travel_Rarely,Sales,Marketing,568,1,Male,Manager,4,Divorced,14118,3,Y,No
50,Travel_Rarely,Research & Development,Life Sciences,569,2,Male,Manager,3,Married,17046,0,Y,No
30,Non-Travel,Research & Development,Medical,571,3,Female,Laboratory Technician,4,Single,2564,0,Y,No
60,Travel_Frequently,Sales,Marketing,573,3,Female,Sales Executive,1,Married,10266,4,Y,No
47,Travel_Rarely,Research & Development,Medical,574,1,Female,Manufacturing Director,4,Divorced,5070,5,Y,No
46,Travel_Rarely,Research & Development,Life Sciences,575,1,Male,Research Director,3,Married,17861,6,Y,No
35,Travel_Rarely,Research & Development,Life Sciences,577,4,Male,Laboratory Technician,3,Single,4230,0,Y,No
54,Travel_Rarely,Research & Development,Life Sciences,578,3,Female,Laboratory Technician,3,Single,3780,7,Y,No
34,Travel_Rarely,Research & Development,Life Sciences,579,4,Male,Research Scientist,3,Divorced,2768,3,Y,No
46,Travel_Rarely,Sales,Marketing,580,3,Female,Sales Executive,4,Married,9071,2,Y,Yes
31,Travel_Rarely,Research & Development,Life Sciences,581,3,Male,Manufacturing Director,2,Divorced,10648,1,Y,No
33,Travel_Rarely,Research & Development,Medical,582,2,Male,Manager,3,Married,13610,7,Y,Yes
33,Travel_Rarely,Research & Development,Medical,584,1,Male,Laboratory Technician,4,Divorced,3408,7,Y,No
30,Travel_Rarely,Sales,Marketing,585,4,Male,Sales Representative,2,Single,2983,0,Y,No
35,Travel_Rarely,Research & Development,Life Sciences,586,4,Male,Healthcare Representative,3,Married,7632,4,Y,Yes
31,Travel_Frequently,Research & Development,Life Sciences,587,1,Male,Healthcare Representative,3,Married,9824,3,Y,No
34,Travel_Frequently,Human Resources,Human Resources,590,2,Female,Human Resources,1,Divorced,9950,9,Y,Yes
42,Travel_Frequently,Research & Development,Other,591,2,Male,Laboratory Technician,3,Married,2093,4,Y,No
36,Non-Travel,Sales,Medical,592,2,Male,Sales Executive,4,Single,9980,1,Y,No
22,Travel_Frequently,Research & Development,Technical Degree,593,3,Male,Laboratory Technician,3,Single,3894,5,Y,No
48,Travel_Rarely,Sales,Marketing,595,2,Female,Sales Executive,4,Married,4051,2,Y,No
55,Travel_Rarely,Sales,Life Sciences,597,1,Female,Manager,2,Single,16835,3,Y,No
41,Non-Travel,Sales,Life Sciences,599,4,Male,Sales Executive,4,Single,6230,7,Y,No
35,Travel_Rarely,Sales,Marketing,600,2,Male,Sales Executive,3,Married,4717,9,Y,No
40,Travel_Rarely,Research & Development,Life Sciences,601,2,Female,Manufacturing Director,3,Single,13237,7,Y,No
39,Travel_Frequently,Research & Development,Life Sciences,602,3,Female,Laboratory Technician,3,Married,3755,1,Y,No
31,Travel_Rarely,Sales,Life Sciences,604,2,Male,Sales Executive,4,Single,6582,4,Y,Yes
42,Travel_Rarely,Research & Development,Medical,605,4,Male,Manufacturing Director,1,Married,7406,1,Y,Yes
45,Travel_Rarely,Sales,Other,606,4,Male,Sales Executive,2,Married,4805,0,Y,No
26,Travel_Frequently,Human Resources,Life Sciences,608,2,Female,Human Resources,3,Divorced,2741,0,Y,Yes
29,Travel_Rarely,Research & Development,Technical Degree,611,4,Male,Manufacturing Director,4,Divorced,4262,4,Y,No
33,Travel_Rarely,Research & Development,Medical,612,1,Female,Research Director,3,Divorced,16184,4,Y,No
31,Travel_Rarely,Sales,Life Sciences,613,3,Male,Manager,4,Divorced,11557,9,Y,No
18,Travel_Frequently,Sales,Marketing,614,2,Male,Sales Representative,2,Single,1878,1,Y,Yes
40,Non-Travel,Sales,Other,615,3,Male,Sales Executive,1,Divorced,10932,3,Y,No
41,Non-Travel,Research & Development,Other,616,1,Female,Healthcare Representative,3,Single,6811,2,Y,Yes
26,Travel_Rarely,Sales,Medical,618,1,Male,Sales Executive,3,Divorced,4306,5,Y,No
35,Travel_Rarely,Sales,Medical,620,1,Female,Sales Executive,3,Single,4859,1,Y,No
34,Travel_Rarely,Sales,Life Sciences,621,4,Male,Sales Executive,4,Single,5337,1,Y,No
26,Travel_Rarely,Research & Development,Technical Degree,622,3,Male,Laboratory Technician,4,Single,2340,1,Y,Yes
37,Travel_Rarely,Research & Development,Technical Degree,623,2,Female,Manufacturing Director,4,Single,7491,4,Y,No
46,Travel_Frequently,Research & Development,Medical,624,1,Female,Healthcare Representative,3,Married,10527,5,Y,No
41,Travel_Rarely,Sales,Life Sciences,625,2,Female,Manager,1,Married,16595,7,Y,No
37,Non-Travel,Sales,Medical,626,1,Male,Sales Executive,2,Divorced,8834,1,Y,No
52,Travel_Rarely,Research & Development,Technical Degree,630,4,Male,Research Scientist,1,Divorced,5577,3,Y,Yes
32,Non-Travel,Sales,Other,631,4,Male,Sales Executive,3,Married,4707,8,Y,No
24,Travel_Frequently,Sales,Medical,632,4,Male,Sales Representative,4,Married,2400,0,Y,No
38,Travel_Rarely,Research & Development,Medical,634,3,Female,Healthcare Representative,3,Married,9824,3,Y,No
37,Travel_Rarely,Research & Development,Life Sciences,635,2,Female,Manufacturing Director,2,Married,6447,6,Y,No
49,Travel_Rarely,Research & Development,Life Sciences,638,4,Male,Research Director,3,Divorced,19502,1,Y,Yes
24,Travel_Rarely,Research & Development,Medical,639,2,Male,Research Scientist,4,Married,2725,1,Y,Yes
26,Travel_Rarely,Sales,Marketing,641,1,Male,Sales Executive,2,Married,6272,1,Y,No
24,Travel_Rarely,Research & Development,Other,643,4,Male,Laboratory Technician,2,Married,2127,1,Y,No
50,Travel_Frequently,Human Resources,Medical,644,1,Male,Manager,2,Married,18200,1,Y,No
25,Travel_Rarely,Sales,Medical,645,2,Male,Sales Representative,3,Married,2096,1,Y,No
24,Travel_Frequently,Research & Development,Life Sciences,647,1,Female,Laboratory Technician,3,Married,2886,1,Y,Yes
30,Travel_Frequently,Sales,Life Sciences,648,2,Male,Sales Representative,1,Married,2033,1,Y,No
34,Travel_Rarely,Research & Development,Life Sciences,649,2,Male,Research Scientist,4,Married,3622,1,Y,Yes
31,Travel_Rarely,Sales,Medical,650,2,Male,Sales Executive,1,Divorced,4233,2,Y,No
35,Travel_Rarely,Research & Development,Other,652,1,Male,Laboratory Technician,4,Single,3681,4,Y,No
31,Travel_Rarely,Sales,Medical,653,1,Male,Sales Executive,4,Divorced,5460,4,Y,No
27,Travel_Rarely,Research & Development,Medical,655,1,Female,Research Scientist,3,Divorced,2187,0,Y,No
37,Travel_Rarely,Sales,Marketing,656,4,Male,Sales Executive,3,Married,9602,4,Y,Yes
20,Travel_Rarely,Research & Development,Life Sciences,657,4,Female,Research Scientist,2,Single,2836,1,Y,No
42,Travel_Rarely,Research & Development,Life Sciences,659,3,Female,Healthcare Representative,4,Married,4089,1,Y,No
43,Travel_Rarely,Research & Development,Other,661,2,Male,Research Director,4,Divorced,16627,4,Y,Yes
38,Travel_Rarely,Research & Development,Life Sciences,662,3,Female,Research Scientist,1,Single,2619,3,Y,No
43,Travel_Frequently,Research & Development,Medical,663,4,Male,Laboratory Technician,3,Divorced,5679,3,Y,Yes
48,Travel_Rarely,Research & Development,Life Sciences,664,4,Female,Manager,1,Married,15402,7,Y,No
44,Travel_Rarely,Human Resources,Life Sciences,665,1,Female,Human Resources,3,Single,5985,4,Y,No
34,Travel_Rarely,Sales,Technical Degree,666,3,Female,Sales Representative,3,Divorced,2579,1,Y,Yes
27,Travel_Rarely,Sales,Marketing,667,3,Male,Sales Representative,1,Divorced,3041,0,Y,No
21,Travel_Rarely,Sales,Technical Degree,669,3,Male,Sales Representative,3,Single,3447,1,Y,No
44,Travel_Rarely,Research & Development,Other,671,4,Male,Manager,4,Married,19513,4,Y,Yes
22,Travel_Rarely,Research & Development,Medical,675,1,Male,Research Scientist,3,Married,2773,0,Y,No
33,Travel_Rarely,Sales,Marketing,677,3,Male,Sales Executive,3,Divorced,7104,0,Y,No
32,Travel_Rarely,Research & Development,Life Sciences,679,1,Female,Research Scientist,4,Married,6322,1,Y,Yes
30,Travel_Frequently,Research & Development,Medical,680,3,Female,Research Scientist,3,Divorced,2083,1,Y,No
53,Travel_Rarely,Sales,Medical,682,4,Female,Sales Executive,1,Single,8381,7,Y,No
34,Travel_Rarely,Research & Development,Life Sciences,683,2,Male,Research Scientist,4,Married,2691,1,Y,No
45,Travel_Frequently,Sales,Life Sciences,684,1,Female,Sales Executive,1,Married,4286,2,Y,No
26,Travel_Rarely,Research & Development,Life Sciences,686,3,Female,Laboratory Technician,4,Married,2659,1,Y,Yes
37,Travel_Rarely,Research & Development,Other,689,3,Male,Manufacturing Director,3,Married,9434,1,Y,No
29,Travel_Rarely,Sales,Medical,690,2,Female,Sales Executive,3,Married,5561,1,Y,No
35,Travel_Rarely,Research & Development,Life Sciences,691,2,Male,Research Scientist,4,Single,6646,1,Y,No
33,Travel_Frequently,Research & Development,Life Sciences,692,3,Male,Healthcare Representative,4,Divorced,7725,3,Y,No
54,Travel_Rarely,Human Resources,Medical,698,3,Male,Human Resources,2,Married,10725,2,Y,No
36,Travel_Rarely,Research & Development,Medical,699,2,Male,Manufacturing Director,2,Divorced,8847,2,Y,Yes
27,Travel_Rarely,Research & Development,Medical,700,1,Male,Research Scientist,4,Single,2045,0,Y,No
20,Travel_Rarely,Research & Development,Medical,701,4,Male,Research Scientist,3,Single,1009,1,Y,Yes
33,Travel_Frequently,Research & Development,Life Sciences,702,1,Male,Research Scientist,1,Single,3348,1,Y,Yes
35,Non-Travel,Research & Development,Life Sciences,704,3,Male,Laboratory Technician,3,Married,1281,1,Y,No
23,Travel_Rarely,Research & Development,Medical,705,1,Male,Research Scientist,1,Married,2819,2,Y,No
25,Travel_Rarely,Sales,Life Sciences,707,4,Male,Sales Executive,2,Married,4851,0,Y,No
38,Travel_Rarely,Sales,Marketing,709,4,Female,Sales Executive,4,Single,4028,0,Y,No
29,Travel_Frequently,Research & Development,Life Sciences,710,2,Male,Research Scientist,4,Divorced,2720,1,Y,No
48,Travel_Rarely,Sales,Marketing,712,2,Male,Sales Executive,2,Married,8120,3,Y,No
27,Travel_Frequently,Sales,Medical,714,4,Female,Sales Executive,4,Divorced,4647,1,Y,Yes
37,Travel_Rarely,Research & Development,Life Sciences,715,4,Male,Research Scientist,4,Single,4680,3,Y,No
50,Travel_Rarely,Research & Development,Medical,716,4,Male,Laboratory Technician,3,Married,3221,1,Y,Yes
34,Travel_Rarely,Research & Development,Medical,717,4,Female,Healthcare Representative,2,Single,8621,1,Y,No
24,Travel_Rarely,Sales,Life Sciences,720,1,Female,Sales Executive,3,Single,4577,9,Y,No
39,Travel_Rarely,Research & Development,Technical Degree,721,4,Female,Healthcare Representative,3,Single,4553,1,Y,No
32,Travel_Rarely,Sales,Marketing,722,4,Male,Sales Executive,4,Single,5396,1,Y,No
50,Travel_Frequently,Sales,Technical Degree,723,2,Male,Sales Executive,3,Married,6796,3,Y,Yes
38,Travel_Rarely,Research & Development,Life Sciences,724,2,Female,Healthcare Representative,4,Single,7625,0,Y,No
27,Travel_Rarely,Research & Development,Life Sciences,725,3,Female,Manufacturing Director,1,Married,7412,1,Y,No
